[GIN] 2026/08/22 - 16:45:45 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:45:45 | 200 |      1.5819ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:45:45 | 200 |     53.5848ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:45:45 | 200 |     55.2172ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:45:45 | 200 |     181.673ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:45:45 | 200 |    187.2127ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:45:45 | 200 |    208.8758ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:45:45 | 200 |    215.0837ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:45:45 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/08/22 - 16:45:45 | 200 |      4.3999ms |       127.0.0.1 | GET      "/v1/models"
[GIN] 2026/08/22 - 16:45:45 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/08/22 - 16:45:45 | 200 |      2.1175ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:45:45 | 200 |            0s |       127.0.0.1 | GET      "/api/experimental/model-recommendations"
[GIN] 2026/08/22 - 16:45:45 | 200 |       7.932ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:45:45 | 200 |      8.4589ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:45:45 | 200 |     11.5576ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:45:45 | 200 |     12.2411ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:45:45 | 200 |     12.2411ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:45:45 | 200 |     12.0685ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:45:45 | 200 |      5.2419ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:45:45 | 200 |      4.3408ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:45:45 | 200 |      4.4588ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:45:45 | 200 |      4.0234ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:45:45 | 200 |      4.5743ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:45:45 | 200 |      5.5561ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:45:45 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/08/22 - 16:45:45 | 200 |      2.1337ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:45:45 | 200 |            0s |       127.0.0.1 | GET      "/api/experimental/model-recommendations"
